conversation_id,text,type,human_type,video_url,text_id,emotion_label,emotion_score
0,Sure.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,0,neutral,0.841441393
0,Okay.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,1,neutral,0.534888566
0,Yes.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,2,neutral,0.898309469
0,Mm-hmm. Yes.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,3,neutral,0.536610842
0,"Well, I like to watch movies, read a book, and take a bath but sometimes I drink when I take a bath.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,4,disgust,0.684687316
0,Yes.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,5,neutral,0.898309469
0,Maybe having less wine in the house.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,6,neutral,0.712865591
0,"Well, I'm more ready than a six because I'm ready to cut back on my drinking and I don't wanna make my depression any worse.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,7,neutral,0.593023419
0,I'd say an eight.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,8,neutral,0.895299137
0,"Well, I don't think that I'm ready to cut down to seven drinks a week. That seems like a lot but I would consider cutting back to two drinks a night. I think that would be my goal.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,9,neutral,0.902995706
0,"Mm-hmm. Yes, sometimes I feel worse after drinking.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,10,disgust,0.847877145
0,"No, it's not like I get crazy or anything but I just don't like the amount that I'm drinking.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,11,disgust,0.835737288
0,Sometimes I just don't like how much I drink. I sometimes finish a bottle in one night.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,12,disgust,0.898147106
0,Sure.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,13,neutral,0.841441393
0,"Well, then I feel blur again.",interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,14,fear,0.758754134
0,Yes on occasion.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,15,neutral,0.852704167
0,Mm-hmm.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,16,neutral,0.585440576
0,Something like that.,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk,17,neutral,0.911031723
